,building_name,sold_price,building_beds,building_baths,redfin_estimates,building_location,property_type,property_size,walking_score,transit_score,bike_score,building_description,building_website
66,2 Bridge Plz,"654,500",3,2.5,"680,104","Atlantic Beach,NY",Single Family Residential,,46.0,,38.0,"""Absolutely Stunning 3 Bedroom home in the desirable village of Atlantic Beach. Step into this sun drenched home and feel like you are on vacation every day.  This home boasts an updated chef's kitchen with top of the line Viking appliances, granite countertops, and a spacious island. Adjacent to the kitchen is the formal dining room with plantation shutters, and sliding doors leading to a large deck overlooking the spacious completely fenced in yard.  Den and formal Living Room and a .5 bath complete the first floor.  Climb the steps to the next level where you will find a large Master Bedroom, spacious walk in closet and a full Master bath.  2 additional bedrooms with large double door closets, a full bath and laundry area complete the second floor.  Third floor boasts an office space  with French door access to an oversized covered terrace for relaxing. while enjoying hours of the cool Atlantic Ocean Breeze.  Central Vac, 2 car  garage w/ heat and ac. Close to the beach""",https://www.redfin.com/NY/Atlantic-Beach/2-Bridge-Plz-11509/home/28906499
67,10-21 162nd St Unit 4A,"395,000",3,1,"406,800","Beechhurst,NY",Condo/Co-op,,53.0,43.0,40.0,"""Beautifully Renovated, Exceptionally Well Maintained and Ready To Move Into! This 3BR Home Features An Open Concept Kitchen/Breakfast Bar, Custom Wood Cabinets, Designer Stone Countertops, Tile Backsplash, Stainless Steel Appliances And Wine Refrigerator. Spacious Living Spaces With Wall Of Oversized Windows, Updated Bathroom And A Large Terrace. Parking Space Available For Transfer. Purchaser Pays Parking Transfer Fee of $8,500. Washer Or Dryer On Every Floor. No Dogs Allowed.""",https://www.redfin.com/NY/Queens/10-21-162nd-St-11357/unit-4A/home/170939088
68,226 94 St,,4,3,"1,117,956","Brooklyn,NY",Multi-Family (2-4 Unit),"2,750 ",96.0,86.0,81.0,"""LARGE(20x55 HOUSE SIZE) SOLID BRICK SEMI-DETACHED 2 FAMILY HOME + FULL FINISHED BASEMENT WITH SEPARATE FRONT ENTRANCE ON A 28x100 LOT SIZE; FEATURING A COMPLETELY PRIVATE DRIVEWAY & DETACHED 2 CAR GARAGE... PERFECTLY SITUATED ON A BEAUTIFUL BLOCK IN THE HEART OF BAY RIDGE; CONVENIENT TO ALL TRANSPORTATION, 3rd AVENUE SHOPPING, GREAT SCHOOLS, AND ONLY A SHORT STROLL TO SHORE ROAD... THIS LOVELY HOME IS IN VERY WELL-MAINTAINED & IMMACULATE CONDITION; AND IT FEATURES: OUTSTANDING ORIGINAL DETAIL & EXQUISITE WOODWORK THROUGHOUT, TIMELESS STUNNING PARQUET FLOORS, SUNNY SKYLIGHT WITH STAINLESS GLASS, FRONT TERRACE & PORCH, EXTRA-SPACIOUS ROOMS, AND MUCH MUCH MORE- SIMPLY TOO MUCH TOO MENTION... THIS TRULY DESIRABLE PROPERTY IS PRICED ATTRACTIVELY, AGGRESSIVELY & COMPETITIVELY FOR TODAYÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¾Ãƒâ€šÃ‚Â¢S MARKET; AND SHOULD BE IN HIGH DEMAND... A TREMENDOUS OPPORTUNITY TO OWN A PRIZED PIECE OF REAL ESTATE, IN OWN OF BROOKLYNÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¾Ãƒâ€šÃ‚Â¢S MOST SOUGHT-AFTER NEIGHBORHOODS...""",https://www.redfin.com/NY/Brooklyn/226-94th-St-11209/home/40820225
69,9281 Shore Rd #406,,1,1,"481,349","Brooklyn,NY",Condo/Co-op,,73.0,79.0,74.0,"""SPONSOR SALE     A spacious and bright Junior 4 one bedroom (convertible 2 bedroom) that has been tastefully renovated throughout and features water and bridge views!  No expense was spared in the remodel of this gorgeous apartment.  The sun glistens off of the polished hardwood floors.  Brand new  eat in kitchen features quartz countertops, and stainless steel appliances.  The luxurious tiled bath has a stand-up shower with beautiful glass doors as well as a tub.  King sized Bedroom allows for large furniture, has two closets, and direct water and bridge views.  The huge living room is sunny and faces Shore Road and the adjoining room can be used as a formal dining room or can be converted to a second bedroom or home office.    It is so rare to find such a beautiful apartment that is move in ready AND has the wonderful view of the Narrows and Verrazano Bridge that only Shore Road apartments can offer.  Many amenities such as storage rooms, bicycle storage, an on site super, two elevators, a fitness room, two laundry rooms, and a shared outdoor space for residents to enjoy.  Enjoy living on Shore Road with convenient access to the Express Bus to Manhattan right outside your door, as well as access to bike paths, parks, the Bay Ridge Promenade and much more.  Do not miss your chance to own one of the best apartments on the market now!""",https://www.redfin.com/NY/Brooklyn/9281-Shore-Rd-11209/unit-406/home/170931074
70,127 Hooper Ave,"848,000",3,2,"849,309","Staten Island,NY",Multi-Family (2-4 Unit),"7,245 ",54.0,66.0,48.0,"""Public Remarks: Two Family Detached In Great Bay Terrace Location. Spacious 6/6 With Full Finished Basement On Large 69' X 105' Property. Well Maintained, Move-In Condition. Freshly Painted. Main Unit Has Newer Kitchen  &  Bath. Beautiful Hardwood Floors. 3/4 Bathroom In Basement W/ Separate Entrance. Newer Windows. Fenced In Yard. Convenient To Transportation, Shopping  &  Gateway National Park.""",https://www.redfin.com/NY/Staten-Island/127-Hooper-Ave-10306/home/56018981
71,1051 N Railroad Ave,"880,000",3,2,"861,798","Staten Island,NY",Single Family Residential,"5,200 ",69.0,71.0,63.0,"""Public Remarks: A fantastic custom newly renovated 2 family home on over sized lot, centrally located on Staten Island. This home boasts large entry area with natural lighting, hardwood floors throughout, and pre-wired for security system and security cameras inside and out. Unit 1 on the first floor features gourmet eat-in-kitchen with granite counter tops, and stainless steel appliances, living room/dining room combo, 2 bedrooms and one 3/4 bathroom with access to a large full finished basement with w/ d hook up and a 3/4 bathroom. Both Floors have access to over sized yard. Unit 2 second floor features 3 bedrooms, kitchen with stainless steel appliances, granite counter tops, living room/ kitchen combo with two 3/4 bathrooms and plenty of storage. Fully detached garage. Great Rental Incom""",https://www.redfin.com/NY/Staten-Island/1051-N-Railroad-Ave-10306/home/56063219
72,100 Colfax Ave Unit 4y,"280,000",2,1,"292,887","Staten Island,NY",Condo/Co-op,,74.0,72.0,62.0,"""Public Remarks: Beautifully renovated 2 bedroom condo in the heart of Grant City. . This unit is move in ready condition with gleaming hard wood floors throughout, King size master bedroom, nice size second bedroom, gorgeous new bathroom with pretty tiles, upgraded fixtures and newly installed copper piping. .. Crown moldings and architectural touches added throughout living room and dining area. .. Granite counters in kitchen, Tiled back-splash and 1 year new stainless steel refrigerator and stove. Living room has Frederick air conditioner, bedroom air conditioner is brand new. Maintenance fees include heat, hot water, and cooking gas. All this, plus conveniently located near Grant City train station, Buses to Manhattan, Brooklyn, and throughout borough. Walk to stores and restaurants.""",https://www.redfin.com/NY/Staten-Island/100-Colfax-Ave-10306/unit-4Y/home/56127967
73,2184 59 St,,8,6,"1,474,923","Brooklyn,NY",Multi-Family (2-4 Unit),"3,105 ",90.0,93.0,67.0,"""Boro-Park/Mapleton/Bensonhurst Area - 2 Family Semi-Detached Corner Brick Home, Lot is 31 x 100, Home is 21 x 54, Two Private driveways and one attached garage, finished basement, 1st family with the walk in and basement will be vacant, very spacious home over 3,000+ living sq ft.  R5 Zoning, Home has 4 electric meters with 2 gas meters, 3 separate burners and 1 water tank.   Present all offers!!""",https://www.redfin.com/NY/Brooklyn/2184-59th-St-11204/home/40799929
74,1330 E 54 St,,3,2,"596,628","Brooklyn,NY",Multi-Family (2-4 Unit),"2,200 ",89.0,81.0,66.0,"""This 2 Family Brick Home is located in the Old Mill Basin area of Brooklyn! The 1st unit features One Bedroom, Living and Dining Room Combo and an Eat-In Kitchen, 1 Full Bathroom and access to the Backyard. The 2nd unit features 2 Bedrooms, Formal Living Room, Dining Room and Eat-In Kitchen Combo, 1 Full Bathroom, Terrace and access to the Backyard. It has a nice sized backyard for entertaining family and friends! There is parking for 2 cars on the Private Driveway and Built-In Garage. Hot Water Tank is less than 5 years old. Close to public transportation (B82, BM1, B46 and B47 buses), within close proximity to Utica Ave. and tons of shopping and dining options! Present all offers!""",https://www.redfin.com/NY/Brooklyn/1330-E-54th-St-11234/home/40879977
75,452 Lafayette Ave Unit 5F,"664,000",2,1,,"Bed-Stuy,NY",Condo/Co-op,,96.0,95.0,91.0,"""Reach out for a private showing! See video tour here: https://www.elevatedlivingny.com/452-lafayette-ave-5f . This unit provides you quality and value. Enjoy 9.5 foot ceilings, plenty of natural light, beautiful windows with direct NYC skyline views from every room, including two private balconies and common rooftop just one flight of steps away. Master bedroom is Queen sized and second bedroom can comfortably fit a full sized bed. Living room is open and spacious with dining area, while the kitchen is tucked away with plenty of cabinet space and storage. Washer/Dryer access in the small 8 unit building. There is also an abatement through 2037, so you can enjoy $24 a month tax payments and low common charges at $261.86. Building on borderline of Clinton Hill and Bedstuy. Two Avenues full of restaurants, bars, and shopping. The G train Classon stop one block away, easy commute to Manhattan, and a convenient location to enjoy other parts and entertainment in Brooklyn.""",https://www.redfin.com/NY/Brooklyn/452-Lafayette-Ave-11205/unit-5F/home/40920671
76,345 Webster Ave Unit 4N,"550,000",2,1.5,,"Midwood,NY",Condo/Co-op,,94.0,93.0,87.0,"""Updated 2 BR/1.5 Bath COOP in Kensington, Brooklyn. This lovely corner unit boasts an abundance of closet space, a windowed eat-in kitchen, and two (2) windowed bathrooms. Separate dining area without compromising any entertainment space in the cavernous living room! Freshly painted, cleaned and improved, this attractively priced space is ready for the next lucky owner!  The Daniel Webster is a professionally-managed COOP with a total of 145 apartments. The building features a live-in superintendent, elevators and laundry premises. There is also an enclosed parking garage and private outdoor gated yard with seating and play space. A storage room and bicycle storage are also available on a first come, first served basis. The COOP is wired for both Verizon Fios and Spectrum. Pets allowed up to 40lbs with a maximum of 1 pet allowed per apartment. Subleasing allowed after 2 years of ownership.  Only 3 blocks to the F train and 6 blocks to the B & Q trains! One (1) mile to Prospect Park!""",https://www.redfin.com/NY/Brooklyn/345-Webster-Ave-11230/unit-4N/home/52742497
77,143-25 84 Dr Unit 1J,"345,000",2,1,"349,366","Briarwood,NY",Condo/Co-op,,83.0,99.0,61.0,"""renovated  2br""",https://www.redfin.com/NY/Queens/14325-84th-Dr-11435/unit-1J/home/169936960
78,52 Abbey Court Ct,"499,000",3,2,"532,829","Gerritsen Beach,NY",Single Family Residential,"1,800 ",50.0,51.0,68.0,"""Turn key beautiful raised ranch providing all of the comforts of home with a flexible floor plan which readily allows for multiple configurations. Airy, open-concept kitchen, dining & living rm featuring a soaring, vaulted ceiling with 2 large skylights providing abundant natural light. The kitchen has beautiful granite countertops,  and modern appliances. The large bay window, flanked by custom build-ins and bench seating is a perfect place to sun gaze as you sip your morning coffee. Rounding out the main level with oak and pine flooring and recessed lighting, is a cozy den/guest room, a bedroom/home office and modern bathroom. The very bright lower level contains 2 relaxing bedrooms for a peaceful night's sleep including a master bedroom with double closets, a very spacious additional bdrm, a contemporary, neutral tiled bath with shower stall, large, walk-in storage closet, and washer and dryer. Additional 700sq ft in lower level and egress to the yard from this level.""",https://www.redfin.com/NY/Brooklyn/52-Abbey-Ct-11229/home/40910873
79,2131 Ocean Ave Unit 6C,,2,2,"671,185","Brooklyn,NY",Condo/Co-op,,91.0,90.0,65.0,"""WELCOME TO THE CONDOMINIUM AT  OCEAN AVENUE.  PRIME HOMECREST. BRAND NEW SPACIOUS QUALITY 2BEDROOMS/2BATH/2BALCONIES CONDO  FOR SALE. 1159.7 SQ.FT. OF LIVABLE SPACE PLUS 74.6 SQ.FT. OF OUTDOOR SPACE.   THE NEW CONSTRUCTION CONDOMINIUM WAS BUILD WITH THE RESIDENTS IN MIND. THE DEVELOPERS DID NOT FAIL TO ENSURE ATTENTION TO QUALITY AND DETAILS. CUSTOM MADE KITCHEN DESIGNED TO PROVIDE WITH THE MOST STORAGE AND CONVENIENCE. STAINLESS STEEL APPLIANCES. GRANITE COUNTERTOP. ALL WINDOWS ARE SOUND-PROOF PELLA WINDOWS. BATHROOMS ARE CUSTOM-MADE, EQUIPPED WITH A STANDING SHOWER AND SEPARATE BATHTUB. THE BEDROOMS FEATURE LARGE WINDOWS AND SPACIOUS CLOSETS.  THE FLOORS  THROUGHOUT THE APARTMENT ARE BRAZILIAN OAK WOOD FLOORS. UNIT IS EQUIPPED WITH AN INTERCOM SYSTEM. MITSUBISHI MULTI HEATING AND COOLING SYSTEM ARE FOUND THROUGHOUT THE APARTMENT. THE CONDOMINIUM BUILDING AMENITIES INCLUDE A MODERN LOBBY, AND GYM.   BUSES B2 B31 B49 B82 B100 AND BUS 3 TO MANHATTAN. SUBWAY LINES B AND Q. PARKING IS AVAILABLE FOR AN ADDITIONAL $55K. READY TO MOVE IN.""",https://www.redfin.com/NY/Brooklyn/2131-Ocean-Ave-11229/unit-6C/home/168962675
80,12 Tuttle St,"890,000",3,2,"875,984","Staten Island,NY",Multi-Family (2-4 Unit),"4,600 ",63.0,62.0,47.0,"""Public Remarks: Unique, Large (2500 sq ft ) Two Family Hi Ranch/Split Level with Elevator that provides access to all levels of the home and yard, and has a fully Handicap/Wheelchair accessible first floor one bedroom apartment. The house is located on a Dead End Street in the desired Westerleigh area and is set on a 40x115 beautifully manicured lot with a 14x28 Inground, heated, salt water generated pool with automatic cover. Entire home has been updated approx. 10 years ago (New roof- first layer, windows, stone, siding, Pella doors, two zone heating/two zone central AC, pavers, deck, pool, bathrooms, kitchens). The renovations include a 7x27 foot legal extension. The high end, custom and quality finishings are included in this sale. There are hardwood floors located under the rugs and central vacu Main house features 10 foot ceilings in living area, large open concept custom contemporary kitchen/dining room with double refrigerators and all stainless steel appliances. Kitchen has motorized skylight and Pella Door leading to a large 10x16 composite deck with motorized awning. Large living room, 3 bedrooms, 2 bathrooms, Family room with Gas fireplace and yard access. Attic with floor for storage, one car garage. Solar panels ($272 month  16 years remaining) result in a minimal electric utility bill. The large one bedroom apartment features a private ramp entrance and has an upgraded and updated open concept living room with gas fireplace and kitchen with SS Appliances. The bathroom is wheelchair accessible with a roll-in shower that has volume and temperature controls. The fully paved property is zero maintenance with a backyard ready for entertaining as it features two levels of space and has a custom made Bar which seats 6 people and Buffet Cabinet/Table with pull outs for plenty of storage. Anyone looking for a large two family with  it all  this is it!""",https://www.redfin.com/NY/Staten-Island/12-Tuttle-St-10314/home/56076870
81,79 Glenwood Ave,"640,000",3,3,"664,787","Staten Island,NY",Single Family Residential,"4,000 ",58.0,61.0,52.0,"""Public Remarks: Completely renovated in 2013, this well-kept, charming colonial is situated close to Clove Lakes Park and just minutes from the Staten Island Expressway, nestled right in prestigious Grymes Hill/Sunnyside area. The home features oversized Andersen windows to the backyard, a new kitchen with plenty of cabinet space, radiant floors, crown moldings throughout, 60 electrical high hats installed, hardwood floors, custom walk-in closets, granite countertops, beautiful big bay windows in the kitchen nook area and master bedroom, 2 ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â½ baths and 3 bedrooms, and even a radiant heat dog room that you need to see to believe! You can drive down the 3 car driveway right to the side entrance of the home, with no steps, to bring in groceries or in the event of inclement weather. The front porch of the home features intricate railings and serves as a peaceful refuge to spend many lazy Sunday mornings. The yard is spacious, featuring ample space on either side of the home and in the back, with 5 year old PVC swing gate fencing on either side of the front of the home. Wonderful neighbors on a quiet one way block.""",https://www.redfin.com/NY/Staten-Island/79-Glenwood-Ave-10301/home/56134449
82,161 Nicholas Ave,"650,000",6,2,"627,540","Staten Island,NY",Multi-Family (2-4 Unit),"3,536 ",82.0,65.0,50.0,"""Public Remarks: Large 2 family. Renovations will be complete before sale. Listing broker is owner.""",https://www.redfin.com/NY/Staten-Island/161-Nicholas-Ave-10302/home/56112849
83,87-70 173rd St Unit 7K,"110,000",,1,"124,138","Jamaica,NY",Condo/Co-op,,96.0,100.0,45.0,"""Bright and sunny alcove studio on top floor of a 6 story building in Jamaica, Queens. Less than one block from Hillside Avenue and 4 blocks from E & F at 169th St. Apt features low maintenance, kitchen with pass through window, full bath, partitioned room which can be used as breakfast area or home office. Stores, shopping, and entertainment all along Hillside Ave. Unit needs some work but has a lot of potential, is in a great location, and is priced to sell. Stop renting and start owning!""",https://www.redfin.com/NY/Queens/87-70-173rd-St-11432/unit-7K/home/20638605
84,1251 E 19 St Unit 3D,,2,2,,"Brooklyn,NY",Condo/Co-op,,89.0,88.0,61.0,"""This is an amazing 1136 total SF (1078 interior SF and 58 exterior SF) 2-bedroom, 2-bathroom apartment on the 3rd floor of the 2-year young development conveniently located in prime Midwood neighborhood of Brooklyn at East 19th Street and Avenue L / M, close to transportation (B/Q train lines), shopping, restaurants / cafes. The apartment has a spacious living-dining area, 2 nice size bedrooms, including master bedroom, 2 full bathrooms and a private balcony facing east 19th street. It features TRANE central AC / Heat system, 5-inch wide engineered hardwood flooring throughout, TOTO & FRESCA contemporary finishes and bathroom fixtures. The kitchen is equipped with modern custom cabinets, granite countertops and premium appliances. The building features a furnished lobby with reception area, rooftop outdoor space with city sky-line views, outdoor and secure garage parking. The building has 421a tax abatement and low maintenance fee of $360 a month. This is a resale deal and buyer does not pay transfer tax. The deeded parking space is a part of the deal!""",https://www.redfin.com/NY/Brooklyn/1251-E-19th-St-11230/unit-3D/home/146395342
85,7264 Royce Pl Unit G13,,2,1.75,"412,710","Brooklyn,NY",Condo/Co-op,,65.0,77.0,58.0,"""Looking for a condo? Well look no more this one has your name written all over it. This 2 bedroom /2 bath  offers brand new kitchen, 2 new full baths, a balcony facing the community pool and a private driveway with garage. Nothing to do but move in!""",https://www.redfin.com/NY/Brooklyn/7264-Royce-Pl-11234/unit-G-13/home/172640968
86,321 Cary Ave,"540,000",3,3,"554,989","Staten Island,NY",Single Family Residential,"2,300 ",87.0,61.0,50.0,"""Public Remarks: Immaculate 1 family semi-attached in move-in condition. Features 3 BRs, LR/DR. Eat in Kitchen w/ Fireplace  &  sliding glass doors to yard. Central air, hardwood floors through out, full finished basement w/ 3/4 bath, washer/dryer, plenty of storage. Pavers in yard w/ shed  &  generator. Conveniently located to shops, restaurants, parks  &  public transportation. Walking distance to all!""",https://www.redfin.com/NY/Staten-Island/321-Cary-Ave-10310/home/56095383
87,461 Oakland Ave,"700,000",4,3,"737,249","Staten Island,NY",Multi-Family (2-4 Unit),"6,840 ",87.0,60.0,46.0,"""Public Remarks: Welcome to 461 Oakland Ave, a beautiful two family home on a gorgeous tree lined street in prime West Brighton. This is a true North Shore gem! An unmatched extra large meticulously manicured property! Enjoy nature's beauty with a beautiful oak tree providing amazing ambiance. Two flower gardens with newly planted perennials and a raised fully organic vegetable and herb garden with organic soil, compost, plants, in brand new cedar garden boxes as well as a rainwater harvesting system with 300 plus gallon water supply! A classic north shore home in excellent  condition, extremely charming with tons of character! This home has 9 foot ceilings throughout, original brick fireplace with hearth and mantle, and hardwood floors throughout. The main unit has 2 nice bedrooms, a clean eat-in kitchen with granite counters, stainless steel appliances, an extra deep steel sink and under cabinet lighting. An incredible sunroom that is the full width of the house, boasting 9 custom wood finished windows which offer tons of sunlight as well a ceiling fan and recessed lighting. A huge basement that is the entire length of the house, brand new bathroom and full lighting throughout. The apartment is 2-3 bedrooms plus a huge attic that is the full length of the house. With 14 foot ceilings, 2 double hung windows and overhead lighting! This home has newly renovated main stairs and privately set back front doors. Every single window in the home has been recently replaced. There are 37 brand new Pella windows featured in this home boasting tons of natural sunlight! All utilities are separate, 2 gas meters, 2 heating systems, 2 brand new hot water heaters installed in May 2020. If you are a land lover, then this is the property for you! Beautiful newly renovated cabana, kids jungle gym with swings and slide, cozy fire pit/lounge area, great patio space for outdoor entertaining! A short distance to wonderful shops, restaurants, and classic north shore establishments such as the SI Zoo, Clove and Silver Lake park and the Snug Harbor cultural center. In an extremely convenient location, it's a commuters delight! This is a rare opportunity to own a 2 family home on a park like property in a neighborhood full of history! Neat and clean, move in ready, true pride of ownership. This is an absolute must see property! Video and 3D Virtual Tour available for property.""",https://www.redfin.com/NY/Staten-Island/461-Oakland-Ave-10310/home/56134916
88,229 Albourne Ave,"857,500",4,4,"864,263","Staten Island,NY",Single Family Residential,0.43 Acres,50.0,58.0,51.0,"""Public Remarks: Sprawling Ranch on beautiful block in Princes Bay. Convenient location to train station and park and ride express bus to NYC. This home features, large eat in kitchen, formal dining room with glass french doors, formal living room with large bay window and very large family room with access to Florida room 12x24 with glass sliders all around which opens to rear yard with large in ground pool great for entertaining. Master bedroom has bay window. In the living room you have wood burning fireplace with dual opening to living room and family room and down to basement den/ family room, 4 bedroom, 4 baths. The basement features large den, and 2 additional bonus rooms plus storage room and yard access. 2 central air systems, 2 gas forced air systems, newer windows, 10 year old roof beautiful front bay window with double door  entry to large foyer. Raised panel door throughout, Recessed lighting, hardwood, laminate and ceramic flooring throughout Level 1: Large Entry, eat in kitchen, formal dining room, family room, with sliders to Florida room and rear yard, living room, 1/2 bath, master bedroom with full bath, full bath, bedroom, bedroom, bedroom, laundry Room. Basement: Large family room, 2 additional bonus rooms, storage room, 3/4 bath , dining roomA large home on a beautiful block""",https://www.redfin.com/NY/Staten-Island/229-Albourne-Ave-10309/home/56055873
89,41 Deborah Loop,"499,998",3,3,"508,470","Staten Island,NY",Single Family Residential,"1,275 ",47.0,48.0,41.0,"""Public Remarks: As you walk into this immaculate home, you can't help to notice the beautiful hardwood floors, crown moldings, high hats and new banister. The renovated kitchen boasts gorgeous white quartz counters, wood cabinets and tile floor and leads into a maintenance free trex-decked yard with a pool including a custom fit safety gate. Full bathroom and half bathroom were just completely renovated! All 3 bedrooms are spacious and immaculate with nothing to do but drop your bags. This home also has a full finished basement with tiled floor, ÃƒÆ’Ã†â€™ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¾ bath and separate office space. Alarm system is installed. Truly there is nothing to do but move in!""",https://www.redfin.com/NY/Staten-Island/41-Deborah-Loop-10312/home/56138762
90,150-28 24th Rd,"1,350,000",4,3.5,"1,366,240","Whitestone,NY",Multi-Family (2-4 Unit),"3,000 ",78.0,56.0,60.0,"""Semi-Detached Brick 2 Family in Prime Whitestone Near Flushing Border! 30x100 Lot Features a Three Bedroom, Two Bath Duplex with Terrace and a One Bedroom, One Bath Unit. 22x52 Building, Full Finished Basement, With Storage Galore, Southern Exposed Yard , All Pavers Outside Kitchen, Private Driveway. Renovations Completed in 2016 Include Hi Hats, New Wood Tile Floors, 4 Zone New Gas Heat All New Copper Plumbing, New Roof & Gutters, Near Schools, Shops, and Transportation. A True Income Producer.""",https://www.redfin.com/NY/Queens/150-28-24th-Rd-11357/home/20864909
91,880 68 St Unit 1H,,2,1,"370,442","Brooklyn,NY",Condo/Co-op,,95.0,93.0,68.0,"""SPONSOR UNIT 2 BDR. 1 BATH FOR SALE IN DYER HTS. AREA (NO BOARD APPROVAL) GOOD CONDITION LOW MAINTENANCE PLENTY OF CLOSETS  GOOD FOR INVESTMENT. CLOSE TO SHOPPING AND TRANSPORTATION . APARTMENT IN MOVE INN CONDITION""",https://www.redfin.com/NY/Brooklyn/880-68th-St-11220/unit-1H/home/172353339
92,1583 E 16 St,,3,2,"796,982","Brooklyn,NY",Multi-Family (2-4 Unit),"1,961 ",95.0,91.0,59.0,"""Midwood - East 16th Street / Avenue P.  1 Family Detached.  7 Large Rooms, 3 Beds, 2 Full Baths + Finished Basement and Driveway.  House Needs Renovation but in a Great Location Only a Few Short Blocks to the Kings Highway Retail Corridor and MTA ""Q"" and ""B"" trains and B82 Bus Line.""",https://www.redfin.com/NY/Brooklyn/1583-E-16th-St-11230/home/40844864
93,71 8 St,"495,000",3,2,"585,430","Staten Island,NY",Single Family Residential,"4,250 ",82.0,72.0,58.0,"""Public Remarks: CHARMING, ALL BRICK 1 FAMILY DETACHED CAPE WITH DETACHED GARAGE. NEEDS JUST A LITTLE TLC. GAS HOT WATER HEAT, NEW HOT WATER HEATER, AMAZING BLOCK AND NEIGHBORHOOD. CONVENIENTLY LOCATED, CLOSE TO ALL TRANSPORTATION. 1ST FLOOR:  LIVING ROOM, FORMAL DINING ROOM, EAT IN KITCHEN WITH DOOR TO YARD. 2ND FLOOR:  BEDROOM, LARGE STORAGE ROOM THAT CAN BE 4TH BEDROOM. FULL UNFINISHED BASEMENT, BUT HIGH AND DRY, EASILY FINISHABLE. BASEMENT HAS 1/2 BATH, LAUNDRY AND UTILITY ROOMS.""",https://www.redfin.com/NY/Staten-Island/71-8-St-10306/home/56065390
94,823 Oliver Ave,"751,000",6,3,"764,598","N. Woodmere,NY",Single Family Residential,"6,695 ",38.0,42.0,50.0,"""Beautiful High Ranch Open Concept Home, 6 Bedrooms, 3 Full Bathrooms, Master bedroom with walk-in closet and Full Bathroom, Eat in Kitchen with Stainless Steel Appliances, French Doors to Deck. Spacious Backyard. Private Driveway with 1 Car Attach Garage. School District 14. Close to Shopping Areas.""",https://www.redfin.com/NY/Valley-Stream/823-Oliver-Ave-11581/home/20390199
95,149-45 Weller Ln,"908,000",6,5.5,"918,744","Rosedale,NY",Multi-Family (2-4 Unit),"2,900 ",41.0,45.0,46.0,"""Rosedale Two Family Home w/Central Air Conditioning and Heat. Total 8 Bedrooms 4.5 Baths, Including Master Bedroom w/en Suite Bath, Kitchens w/Custom Made Cabinets, Quartz Countertops, Black Stainless Steel Appliances and Hardwood Floors Throughout, Full Finished Basement, Laundry hookup, Private Driveway, Close to Shopping, Schools, Transportation and Major Highways. A Must See!!!""",https://www.redfin.com/NY/Queens/149-45-Weller-Ln-11422/home/20687400
96,141-02 230th Pl,"580,000",4,1.5,"589,425","Laurelton,NY",Single Family Residential,"3,142 ",63.0,59.0,61.0,"""Newly renovated single family house in the coveted Laurlton neighborhood. Expansive sun drenched living area, Formal dining area, spacious eat in kitchen, featuring floor to ceiling cabinetry & boasting full size stainless steel appliance. Harwood flooring throughout, and a full finish basement w/ose""",https://www.redfin.com/NY/Queens/141-02-230th-Pl-11413/home/20691957
97,99-30 211th St,"630,000",4,2.5,"635,419","Queens Village,NY",Single Family Residential,"4,800 ",76.0,69.0,54.0,,https://www.redfin.com/NY/Queens/99-30-211th-St-11429/home/20740853
98,17836 Wexford Ter Unit 3B,"455,000",2,2,"478,831","Jamaica Estates,NY",Condo/Co-op,,93.0,100.0,36.0,"""Immaculate 2 bedroom, 2 bath in the heart of Jamaica Estates. Modern kitchen with wood cabinets and granite counter tops. Stainless steel appliances, 3 large California closets, custom shoe closet, 3 new Amana PTACs units, customized dimmer lighting throughout. High-ceilings, marble bath, large balcony. This building is conveniently located near restaurants and shopping. 1 block away from the F train and multiple major bus lines. 1 indoor Parking space included (sep. deed), gym, community and laundry room.""",https://www.redfin.com/NY/Jamaica/17836-Wexford-Ter-11432/unit-3B/home/23181339
