,building_name,sold_price,building_beds,building_baths,redfin_estimates,building_location,property_type,property_size,walking_score,transit_score,bike_score,building_description,building_website
11,31 Woodcutters Ln,"475,000",3,2,"506,618","Staten Island,NY",Single Family Residential,"1,092 ",71.0,63.0,36.0,"""Public Remarks: GORGEOUS 1-FAMILY, 3-BEDROOM, 1.5-BATH, MULTI-LEVEL, TOWN HOME WITH A FINISHED BASEMENT FAMILY ROOM, BUILT IN GARAGE, AND PRIVATE YARD, IN EXCELLENT, MOVE-IN CONDITION. SITUATED IN A WONDERFUL PRIVATE DEVELOPMENT WITH GREAT AMENITIES  INCLUDING SWIMMING POOLS, BASKETBALL AND TENNIS COURTS, AND CLUBHOUSE. CONVENIENTLY AND CENTRALLY LOCATED 15-20 MINUTES FROM VZ BRIDGE, CLOSE TO PARKS, SCHOOLS, SHOPPING, RESTAURANTS AND TRAIN STATION. FEATURING AN EXCELLENT SPLIT-LEVEL LAY OUT WITH LARGE ROOMS, LIVING ROOM WITH HIGH CEILINGS, MASTER BEDROOM WITH CATHEDRAL CEILINGS, GLEAMING HARDWOOD FLOORS, CUSTOM LARGE MODERN KITCHEN WITH STAINLESS STEEL APPLIANCES, NUMEROUS RECESSED LIGHTS AND MORE! LEV1: ENTRY FOYER, GARAGE, 1/2 BATH. LEV2: LIVING ROOM W/ SLIDERS TO DECK. LEV3: DINING ROOM, KITCHEN. LEV4: 3 BEDROOMS, FULL BATH""",https://www.redfin.com/NY/Staten-Island/31-Woodcutters-Ln-10306/home/56124468
12,827 59 St,,5,2,"1,411,082","Brooklyn,NY",Multi-Family (2-4 Unit),"2,003 ",97.0,97.0,64.0,"""Sunset Park-Super Hot Location!!!  It Doesn't Get Much Better Than This-Steps To 8th Avenue!!!, 2 Family Brick, 6 Rooms Over 5 Rooms Plus Full Basement With Front And Rear Entrances, High Ceilings, Parquet Floors, Breezeway In Between Houses Next Door Gives You Windows In Every Room, Super Bright And Airy, Vacant And Ready To Show, All Brick Even The Foundation, Forced Air Gas Heat, Gas Hot Water, Updated Roof, Replacement Windows Throughout, Exterior Is Waterproofed, House Size 20'x55', Lot Size 20'x100', Year Built 1899, Taxes $7,202, R6 Zoning Allows For Adding Additional Square Footage (Verify With Your Architect), Opportunity Knocks On A Street In Brooklyn, Don't Miss This One!!, Owners Are Ready To Start Hearing Offers""",https://www.redfin.com/NY/Brooklyn/827-59th-St-11220/home/40807480
13,501 A Surf Ave Unit 17H,,2,1,,"Brooklyn,NY",Condo/Co-op,,88.0,100.0,75.0,"""This Unit is on the 17th floor of a 23-story building & has Breathtaking Views of the Ocean & Park. Talk about Attention to DetailÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¢ÃƒÆ’Ã‚Â¢ÃƒÂ¢Ã¢â€šÂ¬Ã…Â¡Ãƒâ€šÃ‚Â¬ÃƒÆ’Ã¢â‚¬Å¡Ãƒâ€šÃ‚Â¦. No Expense has been Spared! This Beautiful 2 Bedroom & 1 Bathroom apartment Boasts Over 900 Square Feet. Open Floor Plan, Living Room & Dining Room. Stunning Custom Designed Kitchen w/ Hafele Hardware, Quartz Countertops, Franke Appliances, Bertazonni Gas Range & Built-In Sub-Zero Refrigerator. 1 Full Bath with Dornbracht Appliances & Designer Tiles from Spain. Custom Closets in both Bedrooms, Living Room & Corridor. All Custom Barausse Doors throughout this Apartment. Balcony off Living Room with Brand New Double Hung Windows & Balcony Door. Hunter-Douglas Window Treatments. Custom Quartz Window Sills and Radiator Covers. In-Unit Bosch Washer & Dryer. 24 Hour Doorman Building. Olympic Size Outdoor Pool. Monthly Maintenance Fee Includes 1 Parking Space. Entrance to Subway Station from Condo Building.""",https://www.redfin.com/NY/Brooklyn/501-Surf-Ave-11224/unit-17H/home/40858952
14,180 Suffolk Ave,"555,000",3,3,"567,068","Staten Island,NY",Single Family Residential,"1,560 ",45.0,50.0,28.0,"""Public Remarks: 20291H-CHECK OUT THE PICTURES OF THIS BEAUTIFUL FULLY RENOVATED TOWNHOUSE. NEW HARDWOOD FLOORS THROUGHOUT, NEW MODERN KITCHEN WITH HIGH END APPLIANCES, FULL FINISHED BASEMENT WITH HEATED MAT, NEW WATER HEATER, NEW CENTRAL AIR CONDITIONING. 2 SKYLIGHTS, CONVENIENT TO ALL. LEVEL 1: LIVING ROOM/DINING ROOM COMBO, 1/2 BATH, EIK, CLOSETS, DOOR TO THE PATIO AND BACKYARD. LEVEL 2: 3 BEDROOMS, FULL BATH, CLOSETS. BASEMENT: FAMILY ROOM, 3/4 BATH.""",https://www.redfin.com/NY/Staten-Island/180-Suffolk-Ave-10314/home/56014457
15,242 Armstrong Ave,"580,000",4,1,"586,921","Staten Island,NY",Single Family Residential,"6,300 ",74.0,64.0,51.0,"""Public Remarks: ATTENTION LAND LOVERS - GREAT KILLS OFFERS THIS 4 BDRM HOME ON A LARGE 70X90 FENCED-IN LOT. BOASTS A HUGE ENTERTAINERS YARD W/ 20' POOL. ENTER THE 1ST FLOOR THRU A LARGE ENCLOSED HEATED SUNPORCH ENTRY W/ BAY WINDOW, LIVING ROOM W/ WOOD BURNING STONE FIREPLACE/DINING ROOM, LARGE KITCHEN W/ ABUNDANT CABINET  &  COUNTER SPACE  &  SEPARATE DINING AREA, DOOR TO THE YARD  &  ENTRY TO A FULL FINISHABLE BASEMENT W/ WINE CELLAR  &  BATH PLUMBING. UPDATED BATH  &  ROOM (USED AS A HOME OFFICE). THE 2ND FLR OFFERS 3 BEDROOMS. FEATURES INCLUDE: HW FLOORS THRUOUT, UPDATED GAS BBHW HEAT SYSTEM  &  HW TANK, &  NEWER RHINO SHIELD SIDING. ENDLESS POSSIBILITIES INCLUDING EXPANSION. OWNER HAS APPRVD PLANS TO BUILD 3400 SQ FT 2F SIDE HALL COLONIAL. ENDLESS POSSIBILITIES INCLUDE EXPANSION AND/OR OWNER HAS APPROVED PLANS FOR AN APPROXIMATELY 3400 SQ. FT. 2 FAMILY SIDE HALL COLONIAL. CALL FOR DETAILS OR SCHEDULE AND APPOINTMENT TO SEE THIS HOME TODAY . ..""",https://www.redfin.com/NY/Staten-Island/242-Armstrong-Ave-10308/home/56104722
16,35 88 St,,3,1.75,"958,069","Brooklyn,NY",Single Family Residential,"2,100 ",79.0,78.0,78.0,"""Introducing this opportunity to own this single family 16x40 house sitting on a lot of 21x100 located in Bay Ridge. The first floor is 16x50. The first floor consists of 1 kitchen, 1 dining room, and 1 living room. The second floor has 3 bedrooms and 1 full bathroom. The basement has a spacious area and a 3/4 bathroom. The house features a detached garage that can park up to 2 cars. The property is located in a prime area consisting of an abundant of restaurants, shops, and markets. The property is in a great area for schools for P.S. 185 and J.H.S. 201 which are rated very highly. The house is conveniently located by multiple public transportation including B16, X27, X37, B37, S53, S93, B1, B63, and the R train.""",https://www.redfin.com/NY/Brooklyn/35-88th-St-11209/home/40818936
17,23 Cranford St,"565,000",3,2,"573,393","Staten Island,NY",Single Family Residential,"2,467 ",79.0,65.0,60.0,"""Public Remarks: Beautiful move in ready single family semi-home, located in desirable Bay Terrace. Nicely finished hardwood floors throughout the home. New full bath and finished basement in 2019. This tastefully designed home features a large private yard with a rear porch located close to schools, transportation and shopping.""",https://www.redfin.com/NY/Staten-Island/23-Cranford-St-10308/home/56054866
18,35 Barbara St,,3,3,"591,657","Staten  Island,NY",Single Family Residential,"3,525 ",51.0,62.0,46.0,"""Rare find extra large/extra wide semi-detached pretty home is located in prime Oakwood, it sits on a extra deep property of 26 x 135.58. First floor featrues a oversized living room, formal dining room, modern kitchen with a nice island, a half bath. Second floor features a huge master bedroom with a large double closets, two nice size bedrooms, a full bathroom. Nice back yard has two tier decks with access from walk out basement via the family room and sliding door from the main floor via living room. Full finished basement with family room with sliding door leads to the yard, 3/4 bathroom. Above ground pool, beautifull front gardon, central AC. Private Driveway fits 3 cars plus. The home is in good condition overall, no flood insurance at all, a must see.""",https://www.redfin.com/NY/Staten-Island/35-Barbara-St-10306/home/56136816
19,47 Forest Ave,"685,000",3,3,"718,348","Staten Island,NY",Single Family Residential,"6,250 ",65.0,66.0,36.0,"""Public Remarks: True center hall colonial overlooking Silver Lake, with beautiful serene views. Home was used as a medical office. Needs to be updated.""",https://www.redfin.com/NY/Staten-Island/47-Forest-Ave-10301/home/109612653
20,159-32 91st St,"720,000",3,1.5,"753,422","Howard Beach,NY",Single Family Residential,"4,000 ",88.0,70.0,69.0,"""BEAUTIFUL DETATCHED  1 FAMILY SPLIT , SITS ON GENEROUS 4000 SQ FOOT PROPERTY, DRIVEWAY HAS PARKING FOR 3 CARS , GARAGE FOR ANOTHER , PRIVATE YARD , BEAUTIFUL HARD WOOD FLOORS AND THIS HOME HAS PLENTY OF EXPOSURES AND CLOSETS , THERE IS ALSO A SUB BASEMENT THAT HAS THE GAS HEATING AND THE HOT WATER TANK AND ROOF WAS PUT ON IN LAST 7 YEARS  . THIS HOME WILL NOT LAST https://www.dos.ny.gov/licensing/docs/FairHousingNotice_new.pdf""",https://www.redfin.com/NY/Jamaica/159-32-91st-St-11414/home/20681940
